rgname,location
AzureBackupRG_northeurope_1,NorthEurope
Default-Networking,WestEurope
Default-Storage-NorthEurope,NorthEurope
Default-Storage-WestEurope,WestEurope
Default-Web-WestEurope,WestEurope
DefaultResourceGroup-WEU,WestEurope
dqportalvhds22hxpm9c87vg-Migrated,NorthEurope
HertsMind-DC-Migrated,NorthEurope
HertsMind-FS-Migrated,NorthEurope
HertsMind-TerminalGateway,NorthEurope
HertsMind-TS1,NorthEurope
HertsMind-TS1-Migrated,NorthEurope
HertsMind-TS2-Migrated,NorthEurope
HertsMind-TS3,NorthEurope
HertsMind-TS6,NorthEurope
HertsMind-TS6-Migrated,NorthEurope
HertsMInd-TS7,NorthEurope
HertsMind-TS7-Migrated,NorthEurope
hertsminddatastorage-Migrated,NorthEurope
hertsminddcstorage-Migrated,NorthEurope
hertsmindstore,NorthEurope
hertsmindts16340-Migrated,NorthEurope
hertsmindts64505-Migrated,NorthEurope
hertsmindts7storage-Migrated,NorthEurope
HertsMindVNet-Migrated,NorthEurope
MindBackupVault,NorthEurope
NetworkWatcherRG,NorthEurope
RG-MindData,NorthEurope
